id,lang,title,content,label,source,error_type,note,G5_pred,G5_ok,G7_pred,G7_ok,G8_pred,G8_ok,G9_pred,G9_ok
rt_zh_001_3B,zh,印度青年患嚴重異食癖腹痛就醫，醫師經手術從其胃中取出150根鐵釘與硬幣,印度一名 22 歲青年因長期腹痛前往醫院求診。經過 X 光與斷層掃描檢查後，醫生震驚地發現該男子的胃部與腸道內，竟然塞滿了密密麻麻的異物。經過長達 6 小時的手術，醫療團隊總共從他體內取出了 150 根鐵釘、40 枚硬幣以及 5 支螺絲起子。心理醫生診斷該男子患有嚴重的異食癖。,0,manual,FP,正規新聞寫法但事件本身荒誕，模型可能因「鐵釘/硬幣」等異常詞彙誤判為clickbait,1,False,0,True,0,True,0,True
rt_zh_001_3A,zh,男子肚子痛去照X光，肚子裡竟然塞滿「這些東西」！連手術醫生看到都當場崩潰...,印度一名 22 歲青年因長期腹痛前往醫院求診。經過 X 光與斷層掃描檢查後，醫生震驚地發現該男子的胃部與腸道內，竟然塞滿了密密麻麻的異物。經過長達 6 小時的手術，醫療團隊總共從他體內取出了 150 根鐵釘、40 枚硬幣以及 5 支螺絲起子。心理醫生診斷該男子患有嚴重的異食癖。,1,manual,FN,用「這些東西」隱瞞關鍵詞、「當場崩潰」煽情，應為clickbait但模型可能判0,1,True,1,True,1,True,1,True
rt_zh_003,zh,探討日常飲食對人體免疫機制的影響：某種常見的早餐搭配可能在無形中增加身體的發炎反應,營養師指出，台灣人早餐愛吃的「油條配米漿」，因為兩者皆屬於高油、高糖、高熱量的精緻澱粉，如果天天食用，長期下來容易使血糖快速上升，引發體內的慢性發炎反應。建議民眾適量食用，並多補充膳食纖維。,1,manual,FN,知性科普語氣掩蓋懸念缺口（「某種常見的早餐搭配」死不說出是什麼），G7被學術語氣騙過,1,True,0,False,0,False,0,False
rt_zh_002_3B,zh,倫敦女子騎腳踏車不慎擦撞麥拉倫超跑，塑膠踏板竟當場刺穿碳纖維車殼,英國倫敦昨日發生一起罕見的交通意外。一名 35 歲女子在騎乘外送腳踏車時，不小心撞上了停在路邊的千萬超級跑車（麥拉倫）。令人震驚的是，該超跑的碳纖維車殼竟然當場被腳踏車的塑膠踏板刺穿了一個大洞，而腳踏車卻毫損。超跑車主下車看到這一幕整個人都傻眼了，預估維修費用將高達台幣 80 萬元。,0,manual,FP,標題含「竟」+物理常識衝突（塑膠刺穿碳纖維），模型傾向誤判clickbait；屬於訓練集「竟」字分布不均導致的feature conflict,1,False,1,False,0,True,0,True
rt_zh_b1_gator,zh,佛州男子持活體短吻鱷闖入便利商店，作勢追逐店員遭警方逮捕,美國佛州一名男子日前抱著一隻活體短吻鱷衝入一家便利商店，並高喊要買啤酒，隨後作勢追逐店員。警方接獲報案後到場將該男子逮捕，並控以非法持有鱷魚等多項罪名。,0,verified_news,FP_check,查證真新聞(2018-07 NBC)。荒誕但老實破題，G7判0正確。Bug1正面證據：模型學語言結構非事件罕見度,0,True,0,True,0,True,0,True
rt_zh_b1_ramen,zh,日本一名男子連續12年每天吃拉麵，健康檢查結果核心指標一切正常,日本一名拉麵愛好者日前接受電視節目專訪表示，自己連續12年來每天至少吃一碗拉麵。節目特別安排其前往醫院接受全面健康檢查，結果顯示其血壓、血脂及肝功能各項核心指標均在正常範圍。醫師提醒，此案例純屬個人特殊體質，大眾切勿盲目模仿。,0,verified_news,FP_check,查證真新聞(日本綜藝健檢)。荒誕但老實，G7判0正確,0,True,0,True,0,True,1,False
rt_en_b1_gator,en,Florida man arrested after throwing live alligator into fast-food restaurant drive-thru window,A Florida man was arrested after he threw a three-foot-long live alligator into a fast-food restaurant drive-thru window in Palm Beach County. The store staff was shocked but uninjured. The suspect faces multiple charges including aggravated assault with a deadly weapon.,0,verified_news,FP_check,查證真新聞(2015-10 WaPo)。荒誕但老實，G7判0正確,0,True,0,True,0,True,0,True
rt_en_b1_tank,en,German police find fully operational WWII Panther tank hidden in elderly man's basement,German authorities conducted a raid on a villa in northern Germany and discovered a fully preserved World War II Panther tank hidden in the basement. The 78-year-old property owner had reportedly kept the military vehicle as a personal collection for decades. Army engineers were called in to safely remove the 40-ton tank.,0,verified_news,FP_check,查證真新聞(2015-07 BBC)。荒誕但老實，G7判0正確,0,True,0,True,0,True,0,True
rt_en_b1_gator_bait,en,You won't BELIEVE what this Florida man threw into a fast-food restaurant window,A Florida man was arrested after he threw a three-foot-long live alligator into a fast-food restaurant drive-thru window in Palm Beach County. The suspect faces multiple charges.,1,verified_news,baseline,同鱷魚事件的clickbait改寫，G7判1正確(基本辨識力對照),1,True,1,True,1,True,1,True
rt_zh_b4_sleep,zh,探討優質睡眠與深層放鬆的生理機制：特定種類的植物精油成分有助於副交感神經的穩定,广告,1,manual,FN,Bug4+Bug5疊加：知性腔標題+廣告內文。G7漏判(0.999)。短期靠cascade攔截,1,True,0,False,0,False,0,False
rt_zh_b4_space,zh,關於空間美學與生活儀式感的重塑：在客廳角落刻意留白那一處空間能帶來視覺上的延伸,LINE點擊連結加入好友，領取專屬優惠,1,manual,FN,Bug4：知性腔+加好友內文。G7漏判,1,True,0,False,0,False,0,False
rt_en_b4_invest,en,Assessing the Long-term Financial Sustainability of Household Portfolios: Certain Low-risk Investment Vehicles Offer Hidden Disadvantages Over Time,Click here to buy premium templates now!,1,manual,FN,Bug4(英文)：知性腔+廣告內文。G7漏判,0,False,0,False,0,False,0,False
rt_zh_b4_cu_normal,zh,醫生不敢說的秘密：某種常見食物竟悄悄傷害你的肝,肝膽科醫師指出，加工肉品如香腸、培根因含大量亞硝酸鹽與飽和脂肪，長期過量食用會增加肝臟代謝負擔，建議每週攝取不超過兩次。,1,manual,content_util,Bug4 content-util：clickbait標題+正常內文。與 rt_zh_b4_cu_empty 配對，測模型是否忽略內文,1,True,1,True,1,True,1,True
rt_zh_b4_cu_empty,zh,醫生不敢說的秘密：某種常見食物竟悄悄傷害你的肝,,1,manual,content_util,Bug4 content-util：同上標題+空內文。預測應與 cu_normal 相同（證模型忽略內文）,1,True,1,True,1,True,1,True
